"Feature name","Data Type","Feature Desciption","used"
"rx_hum_11_pmpm_cost","float","cost per month of prescriptions related to CARDIOLOGY - BLOOD AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_09_pmpm_ct","float","count per month of prescriptions related to CARDIOLOGY drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_10_pmpm_ct","float","count per month of prescriptions related to CARDIOLOGY - ANTIPLATELET AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_ano_mus_pmpm_ct","float","claims per month related to congenital malformations, deformations and chromosomal abnormalities : congenital malformations and deformations of the musculoskeletal system in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_vco_circumstances_pmpm_ct","float","claims per month related to factors influencing health status and contact with health services : persons with potential health hazards related to socioeconomic and psychosocial circumstances in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_81_pmpm_cost","float","cost per month of prescriptions related to RESPIRATORY - ASTHMA drugs in the past one year {Based on Humana drug classification}","no"
"cmsd1_eye_pmpm_ct","float","claims per month related to diseases of the eye and adnexa in the past one year {based on CMS diagnosis code level1}","yes"
"rx_hum_61_pmpm_ct","float","count per month of prescriptions related to NEUROLOGY - PARKINSON AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_inj_burns_int_pmpm_ct","float","claims per month related to injury, poisoning and certain other consequences of external causes : burns and corrosions confined to eye and internal organs in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_mus_autoinf_pmpm_ct","float","claims per month related to diseases of the musculoskeletal system and connective tissue : autoinflammatory syndromes in the past one year {based on CMS diagnosis code level2}","no"
"cnt_cp_emails_9","integer","count per month of member interactions via emails with a lag of _9 from the score date in the past one year","yes"
"cmsd2_ext_other_land_transport_pmpm_ct","float","claims per month related to external causes of morbidity : other land transport accidents in the past one year {based on CMS diagnosis code level2}","no"
"rev_pm_blood_pmpm_cd_ct","float","claim lines per month for a revenue code related to blood products, storing, processing and transfer in the past one year","no"
"rev_pm_xdiag_pmpm_cd_ct","float","claim lines per month for a revenue code related to other diagnostic services in the past one year","yes"
"total_outpatient_visit_ct_pmpm","double","visits per month for overall claims related to outpatient facilities in the past one year","yes"
"cci_mst_pmpm_ct","float","count per month of claims related to metastatic solid tumor in the past one year {Based on Charlson Comorbidity Index Categories}","no"
"cmsd2_ext_military_pmpm_ct","float","claims per month related to external causes of morbidity : legal intervention, operations of war, military operations, and terrorism in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_inj_thorax_pmpm_ct","float","claims per month related to injury, poisoning and certain other consequences of external causes : injuries to the thorax in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_sns_imaging_pmpm_ct","float","claims per month related to symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified : abnormal findings on diagnostic imaging and in function studies, without diagnosis in the past one year {based on CMS diagnosis code level2}","yes"
"dcsi_score","integer","Diabetes Complication and Severity Index score based on claims in the past one year","yes"
"cmsd2_neo_neo_metabolic_pmpm_ct","float","claims per month related to certain conditions originating in the perinatal period : transitory endocrine and metabolic disorders specific to newborn in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_22_pmpm_cost","float","cost per month of prescriptions related to CHEMOTHERAPY - MELANOMA AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_50_pmpm_cost","float","cost per month of prescriptions related to IMMUNE SUPPRESSANTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_inf_bact_other_pmpm_ct","float","claims per month related to certain infectious and parasitic diseases : other bacterial diseases in the past one year {based on CMS diagnosis code level2}","no"
"bh_ambulance_visit_ct_pmpm","double","visits per month for behavioral health claims related to ambulance place of treatment in the past one year","no"
"cnt_cp_webstatement_11","integer","count per month of member interactions via webstatement with a lag of _11 from the score date in the past one year","yes"
"cmsd2_cir_other_cir_pmpm_ct","float","claims per month related to diseases of the circulatory system : other and unspecified disorders of the circulatory system in the past one year {based on CMS diagnosis code level2}","no"
"total_outpatient_allowed_pmpm_cost","double","allowed cost per month for overall claims related to outpatient facilities in the past one year","yes"
"cnt_cp_print_1","integer","count per month of member interactions via print with a lag of _1 from the score date in the past one year","yes"
"rev_pm_hemodia_pmpm_cd_ct","float","claim lines per month for a revenue code related to hemodialysis in the past one year","no"
"cmsd2_men_physical_pmpm_ct","float","claims per month related to mental, behavioral and neurodevelopmental disorders : behavioral syndromes associated with physiological disturbances and physical factors in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_inf_infectious_pmpm_ct","float","claims per month related to certain infectious and parasitic diseases : other infectious diseases in the past one year {based on CMS diagnosis code level2}","no"
"cnt_cp_webstatement_0","integer","count per month of member interactions via webstatement with a lag of _0 from the score date in the past one year","yes"
"cmsd2_sns_men_pmpm_ct","float","claims per month related to symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified : symptoms and signs involving cognition, perception, emotional state and behavior in the past one year {based on CMS diagnosis code level2}","no"
"cci_mi_pmpm_ct","float","count per month of claims related to myocardial infarction in the past one year {Based on Charlson Comorbidity Index Categories}","no"
"rx_hum_04_pmpm_cost","float","cost per month of prescriptions related to ANTI-INFECTIVES - HEPATITIS C AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_pre_edema/proteinuria_pmpm_ct","float","claims per month related to pregnancy, childbirth and the puerperium : edema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_53_pmpm_ct","float","count per month of prescriptions related to MENTAL HEALTH - ADHD AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_dig_noninf_enteritis/colitis_pmpm_ct","float","claims per month related to diseases of the digestive system : noninfective enteritis and colitis in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_can_unc_neo/plycyth/myelo_pmpm_ct","float","claims per month related to neoplasms : neoplasms of uncertain behavior, polycythemia vera and myelodysplastic syndromes in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_mus_osteoarth_pmpm_ct","float","claims per month related to diseases of the musculoskeletal system and connective tissue : osteoarthritis in the past one year {based on CMS diagnosis code level2}","yes"
"bh_urgent_care_allowed_pmpm_cost","double","allowed cost per month for behavioral health claims related to urgent care in the past one year","no"
"credit_bal_nonmtgcredit_60dpd","double","Balance Non-Mortgage Loan Accts 60+ Days Past Due","no"
"cmsd2_can_unspec_neo_pmpm_ct","float","claims per month related to neoplasms : neoplasms of unspecified behavior in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_cir_ac_rheum_fever_pmpm_ct","float","claims per month related to diseases of the circulatory system : acute rheumatic fever in the past one year {based on CMS diagnosis code level2}","no"
"cms_disabled_ind","integer","Binary indicator that a Medicare Supplement member is under age 65","yes"
"cmsd2_can_mal_end_pmpm_ct","float","claims per month related to neoplasms : malignant neoplasms of thyroid and other endocrine glands in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_37_pmpm_cost","float","cost per month of prescriptions related to ENDOCRINOLOGY - GOUT drugs in the past one year {Based on Humana drug classification}","no"
"bh_otic_pmpm_ct","float","count per month of behavioral health claims related to other impulse control in the past one year","no"
"cmsd2_res_res_postop_pmpm_ct","float","claims per month related to diseases of the respiratory system : intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified in the past one year {based on CMS diagnosis code level2}","no"
"cnt_cp_emails_0","integer","count per month of member interactions via emails with a lag of _0 from the score date in the past one year","yes"
"rev_pm_castrm_pmpm_cd_ct","float","claim lines per month for a revenue code related to cast room in the past one year","no"
"bh_rtc_allowed_pmpm_cost","double","allowed cost per month for behavioral health claims related to residential treatment centers in the past one year","no"
"rev_pm_hospc_pmpm_cd_ct","float","claim lines per month for a revenue code related to hospice service in the past one year","no"
"cmsd2_inj_lower_pmpm_ct","float","claims per month related to injury, poisoning and certain other consequences of external causes : injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_inj_trauma_pmpm_ct","float","claims per month related to injury, poisoning and certain other consequences of external causes : certain early complications of trauma in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_12_pmpm_ct","float","count per month of prescriptions related to CARDIOLOGY - BLOOD THINNERS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_eye_conjuctiva_pmpm_ct","float","claims per month related to diseases of the eye and adnexa : disorders of conjunctiva in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_30_pmpm_ct","float","count per month of prescriptions related to DERMATOLOGY drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_mus_mus_postop_pmpm_ct","float","claims per month related to diseases of the musculoskeletal system and connective tissue : intraoperative and postprocedural complications and disorders of musculoskeletal system, not elsewhere classified in the past one year {based on CMS diagnosis code level2}","no"
"rev_pm_pystrp_pmpm_cd_ct","float","claim lines per month for a revenue code related to physical therapy in the past one year","no"
"rx_hum_63_pmpm_cost","float","cost per month of prescriptions related to NUTRITIONAL/ VITAMIN drugs in the past one year {Based on Humana drug classification}","no"
"cnt_cp_webstatement_2","integer","count per month of member interactions via webstatement with a lag of _2 from the score date in the past one year","yes"
"cmsd1_unc_pmpm_ct","float","claims per month related to codes for special purposes in the past one year {based on CMS diagnosis code level1}","no"
"cnt_cp_print_7","integer","count per month of member interactions via print with a lag of _7 from the score date in the past one year","yes"
"cnt_cp_vat_0","integer","count per month of member interactions via vat with a lag of _0 from the score date in the past one year","yes"
"cons_lwcm10","float","The probability of the individual not exercising at all","yes"
"rx_hum_52_pmpm_cost","float","cost per month of prescriptions related to MENTAL HEALTH drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_42_pmpm_ct","float","count per month of prescriptions related to GASTROINTESTINAL DISEASE - IBS/UC/CROHNS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd1_ext_pmpm_ct","float","claims per month related to external causes of morbidity in the past one year {based on CMS diagnosis code level1}","no"
"cmsd2_mus_ctd_pmpm_ct","float","claims per month related to diseases of the musculoskeletal system and connective tissue : systemic connective tissue disorders in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_15_pmpm_ct","float","count per month of prescriptions related to CARDIOLOGY - GROWTH FACTORS drugs in the past one year {Based on Humana drug classification}","no"
"med_er_ds_clm","integer","days since last claim for non-behavioral health claims related to emergency room in the past one year","no"
"rx_hum_45_pmpm_ct","float","count per month of prescriptions related to GROWTH HORMONE drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_pre_maternal_pmpm_ct","float","claims per month related to pregnancy, childbirth and the puerperium : maternal care related to the fetus and amniotic cavity and possible delivery problems in the past one year {based on CMS diagnosis code level2}","no"
"cmsd1_cir_pmpm_ct","float","claims per month related to diseases of the circulatory system in the past one year {based on CMS diagnosis code level1}","yes"
"cons_hxmioc","integer","Managing Illness or Condition - Index","yes"
"cmsd2_sns_skn_pmpm_ct","float","claims per month related to symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified : symptoms and signs involving the skin and subcutaneous tissue in the past one year {based on CMS diagnosis code level2}","yes"
"rev_pm_ats_pmpm_cd_ct","float","claim lines per month for a revenue code related to alternative therapy services in the past one year","no"
"cmsd2_ext_med_device_pmpm_ct","float","claims per month related to external causes of morbidity : medical devices associated with adverse incidents in diagnostic and therapeutic use in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_inj_burns_ext_pmpm_ct","float","claims per month related to injury, poisoning and certain other consequences of external causes : burns and corrosions of external body surface, specified by site in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_sns_digest_abdomen_pmpm_ct","float","claims per month related to symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified : symptoms and signs involving the digestive system and abdomen in the past one year {based on CMS diagnosis code level2}","yes"
"cmsd2_neo_neo_digest_pmpm_ct","float","claims per month related to certain conditions originating in the perinatal period : digestive system disorders of newborn in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_neo_perinatal_inf_pmpm_ct","float","claims per month related to certain conditions originating in the perinatal period : infections specific to the perinatal period in the past one year {based on CMS diagnosis code level2}","no"
"rx_branded_pmpm_cost","float","cost per month of prescriptions related to branded drugs in the past one year","yes"
"med_ip_acute_ds_clm","integer","days since last claim for non-behavioral health claims related to acute inpatient facilities in the past one year","no"
"rev_pm_oclin_pmpm_cd_ct","float","claim lines per month for a revenue code related to freestanding clinic in the past one year","no"
"rev_pm_radtrp_pmpm_cd_ct","float","claim lines per month for a revenue code related to radiology - therapeutic in the past one year","no"
"rev_pm_rehab_pmpm_cd_ct","float","claim lines per month for a revenue code related to medical rehabilitation day program in the past one year","no"
"rev_pm_room_pmpm_cd_ct","float","claim lines per month for a revenue code related to room and board in the past one year","no"
"cmsd2_can_mal_urinary_pmpm_ct","float","claims per month related to neoplasms : malignant neoplasms of urinary tract in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_end_dm_pmpm_ct","float","claims per month related to endocrine, nutritional and metabolic diseases : diabetes mellitus in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_eye_eye_other_pmpm_ct","float","claims per month related to diseases of the eye and adnexa : other disorders of eye and adnexa in the past one year {based on CMS diagnosis code level2}","no"
"rev_pm_audio_pmpm_cd_ct","float","claim lines per month for a revenue code related to audiology in the past one year","no"
"credit_hh_autobank","double","% HH Auto Bank Loan Accts","no"
"cmsd2_mus_chondropath_pmpm_ct","float","claims per month related to diseases of the musculoskeletal system and connective tissue : chondropathies in the past one year {based on CMS diagnosis code level2}","no"
"cnt_cp_emails_5","integer","count per month of member interactions via emails with a lag of _5 from the score date in the past one year","yes"
"atlas_naturalchangerate1016","double","Natural population change 2010-2016","yes"
"bh_apan_pmpm_ct","float","count per month of behavioral health claims related to anxiety panic in the past one year","no"
"rev_pm_ivtrp_pmpm_cd_ct","float","claim lines per month for a revenue code related to intravenous therapy in the past one year","no"
"rx_specialty_ntwk_pmpm_ct","float","count per month of prescriptions related to specialty drugs in the past one year","no"
"rev_pm_ccpd_pmpm_cd_ct","float","claim lines per month for a revenue code related to continuous cycling peritoneal dialysis in the past one year","no"
"total_ip_snf_ds_clm","integer","days since last claim for overall claims related to skilled nursing inpatient facilities in the past one year","no"
"cmsd2_inf_infestation_pmpm_ct","float","claims per month related to certain infectious and parasitic diseases : pediculosis, acariasis and other infestations in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_inj_shoulder_pmpm_ct","float","claims per month related to injury, poisoning and certain other consequences of external causes : injuries to the shoulder and upper arm in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_men_psychotic_pmpm_ct","float","claims per month related to mental, behavioral and neurodevelopmental disorders : schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_ner_paralytic_pmpm_ct","float","claims per month related to diseases of the nervous system : cerebral palsy and other paralytic syndromes in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_vco_exam_pmpm_ct","float","claims per month related to factors influencing health status and contact with health services : persons encountering health services for examinations in the past one year {based on CMS diagnosis code level2}","yes"
"rx_hum_41_pmpm_ct","float","count per month of prescriptions related to GASTROINTESTINAL DISEASE - GERD drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_57_pmpm_ct","float","count per month of prescriptions related to MENTAL HEALTH - DEPRESSION AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_men_intellectual_pmpm_ct","float","claims per month related to mental, behavioral and neurodevelopmental disorders : intellectual disabilities in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_pre_abort_pmpm_ct","float","claims per month related to pregnancy, childbirth and the puerperium : pregnancy with abortive outcome in the past one year {based on CMS diagnosis code level2}","no"
"bh_otsd_pmpm_ct","float","count per month of behavioral health claims related to other sexual dys in the past one year","no"
"total_ip_rehab_allowed_pmpm_cost","double","allowed cost per month for overall claims related to rehabilitation inpatient facilities in the past one year","no"
"cmsd2_cir_other_heart_disease_pmpm_ct","float","claims per month related to diseases of the circulatory system : other forms of heart disease in the past one year {based on CMS diagnosis code level2}","yes"
"cmsd2_dig_appendix_pmpm_ct","float","claims per month related to diseases of the digestive system : diseases of appendix in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_men_men_child_pmpm_ct","float","claims per month related to mental, behavioral and neurodevelopmental disorders : behavioral and emotional disorders with onset usually occurring in childhood and adolescence in the past one year {based on CMS diagnosis code level2}","no"
"rev_pm_ambul_pmpm_cd_ct","float","claim lines per month for a revenue code related to ambulance in the past one year","no"
"cmsd2_ext_bike_pmpm_ct","float","claims per month related to external causes of morbidity : pedal cycle rider injured in transport accident in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_85_pmpm_ct","float","count per month of prescriptions related to RESPIRATORY - PAH AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_skn_derm/eczema_pmpm_ct","float","claims per month related to diseases of the skin and subcutaneous tissue : dermatitis and eczema in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_82_pmpm_ct","float","count per month of prescriptions related to RESPIRATORY - COPD drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_pre_obstetric_pmpm_ct","float","claims per month related to pregnancy, childbirth and the puerperium : other obstetric conditions, not elsewhere classified in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_91_pmpm_ct","float","count per month of prescriptions related to THYROID drugs in the past one year {Based on Humana drug classification}","yes"
"cmsd2_ext_overexertion_pmpm_ct","float","claims per month related to external causes of morbidity : overexertion and strenuous or repetitive movements in the past one year {based on CMS diagnosis code level2}","no"
"rx_nonotc_pmpm_cost","float","cost per month of prescriptions related to non over the counter drugs in the past one year","yes"
"rx_hum_16_pmpm_cost","float","cost per month of prescriptions related to CARDIOLOGY - HEART FAILURE drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_75_pmpm_ct","float","count per month of prescriptions related to PAIN MGMT - MUSCLE RELAXANTS drugs in the past one year {Based on Humana drug classification}","yes"
"rx_nonspecialty_pmpm_ct","float","count per month of prescriptions related to nonspecialty drugs in the past one year","yes"
"rx_otc_pmpm_cost","float","cost per month of prescriptions related to over the counter drugs in the past one year","no"
"cmsd2_cir_ch_rheum_hrt_pmpm_ct","float","claims per month related to diseases of the circulatory system : chronic rheumatic heart diseases in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_mus_osteopath_pmpm_ct","float","claims per month related to diseases of the musculoskeletal system and connective tissue : other osteopathies in the past one year {based on CMS diagnosis code level2}","no"
"rev_pm_asc_pmpm_cd_ct","float","claim lines per month for a revenue code related to ambulatory surgical care in the past one year","yes"
"total_ip_ltach_admit_days_pmpm","double","admitted days per month for overall claims related to long term acute hospitalization inpatient facilities in the past one year","no"
"cmsd2_bld_hemorrhagic_pmpm_ct","float","claims per month related to diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism : coagulation defects, purpura and other hemorrhagic conditions in the past one year {based on CMS diagnosis code level2}","yes"
"cmsd2_gus_genital_postop_pmpm_ct","float","claims per month related to diseases of the genitourinary system : intraoperative and postprocedural complications and disorders of genitourinary system, not elsewhere classified in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_can_mal_fem_genital_pmpm_ct","float","claims per month related to neoplasms : malignant neoplasms of female genital organs in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_24_pmpm_cost","float","cost per month of prescriptions related to CHEMOTHERAPY - PARP INHIBITORS drugs in the past one year {Based on Humana drug classification}","no"
"total_ambulance_ds_clm","integer","days since last claim for overall claims related to ambulance place of treatment in the past one year","no"
"rx_hum_89_pmpm_cost","float","cost per month of prescriptions related to SUBSTANCE ABUSE AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_res_res_up_pmpm_ct","float","claims per month related to diseases of the respiratory system : acute upper respiratory infections in the past one year {based on CMS diagnosis code level2}","yes"
"rev_pm_hh_pmpm_cd_ct","float","claim lines per month for a revenue code related to home health in the past one year","no"
"total_ip_snf_admit_ct_pmpm","double","admits per month for overall claims related to skilled nursing inpatient facilities in the past one year","no"
"rev_pm_drlr_pmpm_cd_ct","float","claim lines per month for a revenue code related to delivery room & labor room in the past one year","no"
"rev_pm_onco_pmpm_cd_ct","float","claim lines per month for a revenue code related to oncology in the past one year","no"
"rev_pm_oroom_pmpm_cd_ct","float","claim lines per month for a revenue code related to operating room in the past one year","yes"
"cnt_cp_livecall_1","integer","count per month of member interactions via livecall with a lag of _1 from the score date in the past one year","no"
"rx_hum_27_pmpm_cost","float","cost per month of prescriptions related to CHOLESTEROL - PCSK9 INHIBITORS drugs in the past one year {Based on Humana drug classification}","no"
"total_ambulance_visit_ct_pmpm","double","visits per month for overall claims related to ambulance place of treatment in the past one year","yes"
"cmsd2_inf_viral_fever_pmpm_ct","float","claims per month related to certain infectious and parasitic diseases : arthropod-borne viral fevers and viral hemorrhagic fevers in the past one year {based on CMS diagnosis code level2}","no"
"med_ip_rehab_ds_clm","integer","days since last claim for non-behavioral health claims related to rehabilitation inpatient facilities in the past one year","no"
"total_ip_ltach_allowed_pmpm_cost","double","allowed cost per month for overall claims related to long term acute hospitalization inpatient facilities in the past one year","no"
"total_er_ds_clm","integer","days since last claim for overall claims related to emergency room in the past one year","no"
"cci_hiv_n_pmpm_ct","float","count per month of claims related to hiv without aids in the past one year {Based on Charlson Comorbidity Index Categories}","no"
"credit_num_1stmtg_collections","double","Number 1st Mortgage Accts - 120 Days Past Due or Collections","no"
"cmsd2_bld_bld_other_pmpm_ct","float","claims per month related to diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism : other disorders of blood and blood-forming organs in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_34_pmpm_ct","float","count per month of prescriptions related to DIABETIC SUPPLIES drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_49_pmpm_ct","float","count per month of prescriptions related to IMMUNE GLOBULIN AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd1_ear_pmpm_ct","float","claims per month related to diseases of the ear and mastoid process in the past one year {based on CMS diagnosis code level1}","yes"
"bh_ambulance_allowed_pmpm_cost","double","allowed cost per month for behavioral health claims related to ambulance place of treatment in the past one year","no"
"rx_hum_09_pmpm_cost","float","cost per month of prescriptions related to CARDIOLOGY drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_20_pmpm_cost","float","cost per month of prescriptions related to CHEMOTHERAPY - AROMATASE INHIBITORS drugs in the past one year {Based on Humana drug classification}","no"
"rwjf_dentists_ratio","float","Clinical Care - Ratio of population to dentists","yes"
"cmsd2_inj_neck_pmpm_ct","float","claims per month related to injury, poisoning and certain other consequences of external causes : injuries to the neck in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_58_pmpm_ct","float","count per month of prescriptions related to NEUROLOGY drugs in the past one year {Based on Humana drug classification}","no"
"rev_pm_phar_pmpm_cd_ct","float","claim lines per month for a revenue code related to pharmacy in the past one year","yes"
"rev_pm_recrm_pmpm_cd_ct","float","claim lines per month for a revenue code related to recovery room in the past one year","yes"
"cmsd2_ext_occ_van/truck_pmpm_ct","float","claims per month related to external causes of morbidity : occupant of pick-up truck or van injured in transport accident in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_ner_ner_peripheral_pmpm_ct","float","claims per month related to diseases of the nervous system : polyneuropathies and other disorders of the peripheral nervous system in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_76_pmpm_cost","float","cost per month of prescriptions related to PAIN MGMT - NARCOTIC ANALGESICS drugs in the past one year {Based on Humana drug classification}","no"
"rev_pm_labpth_pmpm_cd_ct","float","claim lines per month for a revenue code related to laboratory pathology in the past one year","yes"
"cmsd2_inf_cns_pmpm_ct","float","claims per month related to certain infectious and parasitic diseases : viral and prion infections of the central nervous system in the past one year {based on CMS diagnosis code level2}","no"
"bh_suat_pmpm_ct","float","count per month of behavioral health claims related to suicide attempt in the past one year","no"
"cmsd2_inf_herpes_pmpm_ct","float","claims per month related to certain infectious and parasitic diseases : human immunodeficiency virus [hiv] disease in the past one year {based on CMS diagnosis code level2}","no"
"rev_pm_nursr_pmpm_cd_ct","float","claim lines per month for a revenue code related to nursery in the past one year","no"
"cons_hxmboh","integer","Managing the Business of Health","yes"
"rx_hum_89_pmpm_ct","float","count per month of prescriptions related to SUBSTANCE ABUSE AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"bh_suid_pmpm_ct","float","count per month of behavioral health claims related to suicide ideation in the past one year","no"
"rx_hum_17_pmpm_cost","float","cost per month of prescriptions related to CARDIOLOGY - HYPERTENSION AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_inf_spirochetal_pmpm_ct","float","claims per month related to certain infectious and parasitic diseases : other spirochetal diseases in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_eye_glaucoma_pmpm_ct","float","claims per month related to diseases of the eye and adnexa : glaucoma in the past one year {based on CMS diagnosis code level2}","no"
